HJV5JBCXX_PR0478_01A0202	HJV5JBCXX_PR0478_02A0403	HJV5JBCXX_PR0478_03A1105	HJV5JBCXX_PR0478_04A1206
Slc4a11	2.26432366778884e-06	-2.26432366778884e-06	-7.75451180079489e-06	0.00734318394420042
Slc4a10	0.0279935640407087	0.00444393573515445	-0.0804155627368726	-0.00444393573515445
BC026585	-0.00156866405924916	-0.018324260766823	0.00156866405925005	0.0259870914239642
Ptprz1	0.00300035159014866	-0.0133998106500788	-0.00300035159014866	0.010608803116424
Pold1	0.0330582819693568	-0.103981228041627	0.0823704846797231	-0.0330582819693568
Pold2	-0.0448789990783052	-0.00423850623934996	0.0498660435550526	0.00423850623934996
Pold3	-0.0656165502605539	0.208325734702237	0.0656165502605521	-0.114155738415127
Pold4	-0.0117466453983628	-0.0162450479711218	0.0636260207779653	0.0117466453983628
Hdac1	0.0087843603964366	0.00573184912021318	-0.00573184912021318	-0.0926565831235635
Hdac3	-0.0266167813894302	-0.0641789717995049	0.101558530118695	0.026616781389432
Hdac2	-0.0529851293763244	0.0978524795328859	-0.087412716298779	0.0529851293763244
Hdac5	0.0340919061929608	0.105607583395001	-0.034091906192959	-0.0588110700260014
Hdac4	-0.101546409308977	0.113358835759557	-0.0194366971187598	0.0194366971187598
Hdac6	0.0558952666331365	0.0302747095063776	-0.0788613593587133	-0.0302747095063776
Hdac9	-0.00632258681380771	-0.00634271697604039	0.00632258681380815	0.0134872762734899
Hdac8	0.00339734545616288	-0.0548981922618985	0.112627880280355	-0.00339734545616288
Gmpr	0.000976410404413874	0.000729713194650872	-0.00072971319465065	-0.00434777542828724
Gmps	0.06433880775832	-0.0250915724456036	0.00794936257010725	-0.00794936257010903
1110032F04Rik	-0.00225418842656566	0.0418669062306565	-0.025483781093822	0.00225418842656477
4930557J02Rik	0.000928605278453398	0.000780384849155213	-0.00172568327162637	-0.000780384849155435
Pvr	0.00719695133826903	-0.00719695133826725	0.110785748954441	-0.0149294058482852
4732471J01Rik	0.00778979661888135	0.0140037391470589	-0.0127023388043543	-0.00778979661888091
Lix1l	-0.000770819506257459	0.00156094145902586	0.000162350473032147	-0.000162350473032147
Ikzf5	0.0262218451119836	-0.01173565668112	0.0117356566811218	-0.0292179770655316
Ikzf4	-0.0340319144315311	-0.0536882092352702	0.0543063656683058	0.034031914431532
Ikzf1	-0.038693873199934	0.0633947841155553	-0.0212315317554488	0.0212315317554488
Ikzf3	-0.0823038964083338	0.0887559838635426	-0.0252074135684683	0.0252074135684701
Ikzf2	0.0917560292652331	-0.0834049670071328	0.0145222311031752	-0.0145222311031752
H2afv	-0.00258495218550792	0.00258495218550792	-0.0194388072920884	0.0537927393363127
Mbtd1	0.105652268343293	0.0154416190517779	-0.0195647037082942	-0.0154416190517779
H2afx	-0.0801204040777375	-0.00437385832672632	0.0043738583267281	0.0762525180611178
H2afy	-0.0179265032677129	-0.160924778196723	0.0703430292226255	0.0179265032677129
H2afz	-0.0502829038424668	-0.0363609623137791	0.0383745592829285	0.0363609623137791
H2afj	-0.0174639512217514	-0.0501103665867824	0.0174639512217514	0.068761365289534
Fgf18	2.5132325183197e-06	0.00366559230768537	-2.51323251837521e-06	-7.42357466959609e-06
Fgf13	0.00920344968882425	-0.00402241699389094	0.00402241699388917	-0.124193707425135
Fgf10	1.43474785265288e-06	-1.43474785264941e-06	0.00463698706614242	-1.11150913783865e-05
Fgf16	6.06540367353858e-06	-6.06540367376063e-06	0.000577830296150328	-5.05205301513101e-05
Dpcr1	-0.000580149340210445	0.0018608990103921	0.000580149340210501	-0.000589923154408867
Snrpd1	-0.0251427940278788	-0.0700140119560615	0.0251427940278788	0.0666803197479844
Prss41	0.014561907861526	-0.00809498469547476	0.00809498469547476	-0.00817647665032384
Phc1	0.0254806691935361	-0.0254806691935361	-0.0579832654298347	0.0293640083481712
Phc3	0.0239041836635767	-0.0239041836635785	0.078658552596373	-0.0976756113998558
Phc2	-0.0945316893266614	0.184795009757662	-0.0403034170659051	0.0403034170659051
Sh2d4b	0.00392438076097834	-0.00392438076097879	0.00720622188828335	-0.00709210835976171
Golt1b	0.0443573133201571	0.0238978840855157	-0.0238978840855157	-0.0404373972900771
Chmp3	0.00704639254494666	0.108337010204348	-0.00704639254494666	-0.100469922510737
Chmp7	-0.0696307644580276	-0.0271471764713169	0.0271471764713169	0.112708634058061
Chmp6	-0.0085450849262898	0.00854508492629158	0.0396233567691482	-0.0144229113347158
Chmp5	0.0893053953818814	-0.00966985669053422	-0.0408583258618762	0.00966985669053599
Mir6940	0.000676434470333831	8.36600472986504e-06	-8.36600472986504e-06	-4.02144597109189e-05
Mir6942	0.00159334740871042	-0.00243961543257942	-0.00159334740871042	0.00301237161740264
Gcnt2	-0.00445549721313121	-0.0312716744950459	0.0505967853346041	0.0044554972131321
Mir6948	1.07666461196532e-06	-1.07666461196532e-06	0.00348002636010364	-8.34097281088297e-06
Mark4	-0.089514347370967	-0.00481402949045062	0.0743327040758768	0.00481402949045062
Mark2	0.0496920787142052	0.0776548042618259	-0.049692078714207	-0.0509561002016987
Mark3	-0.00274221894114035	0.0396421804899934	-0.0203167619434126	0.00274221894113857
Nmd3	-0.0842770785384825	0.196858959165647	-0.100976372025775	0.0842770785384825
Rps15a-ps6	-0.0096200831902582	-0.0108444190648447	0.0251174223726789	0.00962008319025909
Extl1	0.000644520269733384	-0.000644520269733828	0.0279577882915074	-0.000707013160225589
Extl2	-0.0108290122351402	0.0124980460644206	-0.118747701442697	0.0108290122351402
Extl3	-0.0498972239274522	0.0498972239274522	-0.142798671947867	0.0775826545909055
Gm7609	-0.00996481334414501	0.00159595574912874	0.0295579147949461	-0.00159595574912963
Tia1	-0.079824376373578	0.0304107670995197	-0.030410767099518	0.0780800762420597
Tmem160	-0.0402534500025542	-0.110297134677571	0.0402534500025542	0.118918286478534
Tmem163	-0.0121341480695492	-0.10947201175645	0.136092561412822	0.0121341480695509
Tmem165	0.0158735912774368	-0.00255120251345886	0.00255120251345708	-0.0213790502709816
Tmem164	0.135507125899267	-0.024996856778202	0.0249968567782002	-0.0983483599701742
Tmem167	0.0433737657719693	0.0299974866906734	-0.030200899382816	-0.0299974866906751
Tmem169	6.06540367353858e-06	-6.06540367376063e-06	0.000577830296150328	-5.05205301513101e-05
Tmem168	0.0505476966850242	-0.068605817110484	-0.0205595469934909	0.0205595469934909
Tbc1d8	-0.000397290742108147	0.000397290742108147	0.0259745273348715	-0.0469931147715092
Tbc1d9	-0.000604982140758992	0.000604982140759436	0.0177950129888966	-0.000658182206182634
Tbc1d1	0.0300814927607291	0.103222641054424	-0.0761147952185919	-0.0300814927607309
Tbc1d2	0.042934197816213	-0.042934197816213	0.0995124445980116	-0.0785217428383262
Tbc1d4	0.00438640600802565	0.0197095342604392	-0.00438640600802387	-0.132389253274948
Tbc1d5	0.0208313633329311	0.128256690671355	-0.0922961822243344	-0.0208313633329311
Tbc1d7	-0.0147275971252565	-0.1914119077182	0.0147275971252574	0.0489092835241216
Spata45	-0.000519764612933793	-0.00179132641102631	0.000519764612933793	0.00556556410579412
4933405E24Rik	2.86304859242748e-06	-2.86304859242748e-06	0.00924957766619428	-2.21804758666622e-05
Akirin2	-0.0350662058261086	0.073032752683746	0.00283727411727241	-0.00283727411727241
Akirin1	-0.00571667845132495	0.094158982641229	-0.0730998684407975	0.00571667845132318
Ap3m1	0.00618823506115973	-0.00618823506116151	0.0721134492473201	-0.106010653674016
Limd2	-0.01290127271551	0.0129012727155082	-0.0468867509835675	0.0878194256090836
Limd1	0.00223052371256394	0.0709094624796496	-0.151005558447412	-0.00223052371256394
Nop58	0.0858896445198472	-0.0303066289888587	-0.0446894704714893	0.0303066289888587
Acsf2	-0.0694075977505486	0.12218634508356	-0.009036368590146	0.009036368590146
Nop56	0.0528889187733785	-0.0828124601796443	0.0263075876717451	-0.0263075876717433
Gga2	-0.063398924992363	-0.0078721669726125	0.0078721669726125	0.168772169014138
Sarnp	-0.0360741346720665	0.0629011853484727	-0.0617318411923797	0.0360741346720665
Kcnip4	-0.000702696517631551	0.0121124776712289	0.000702696517631995	-0.00249021124495341
Kcnip3	-0.0365568691565334	0.00453104192887377	-0.00453104192887377	0.113533927565688
Kcnip2	0.00977824506896408	-0.0179269994721309	0.0351485545987291	-0.00977824506896496
Kcnip1	0.000676434470333831	8.36600472986504e-06	-8.36600472986504e-06	-4.02144597109189e-05
4930447A16Rik	0.00127206031431859	-0.00127206031431859	0.00683892607150716	-0.00129432225239712
Tpcn1	-0.0339672121641943	0.075975142348307	-0.0300094717750641	0.0300094717750641
Tpcn2	0.0360810125817004	-0.0733616492467686	-0.0360810125816986	0.143277465894416
Tcirg1	0.0329953305078483	-0.0585805746997217	0.0605265952369454	-0.0329953305078483
Ltbp4	0.00844056721274011	-0.008440567212741	0.0298770566050761	-0.0110685372424593
Ltbp3	1.95111550271854e-05	-1.95111550271854e-05	-6.68224279594121e-05	0.0629641941950192
Olfr911-ps1	-0.000817465897923864	-0.00968355213913297	0.00186856486989218	0.000817465897923864
Chadl	0.000676434470333831	8.36600472986504e-06	-8.36600472986504e-06	-4.02144597109189e-05
Pappa	1.79242690562242e-06	-1.79242690556691e-06	0.00579241867575836	-1.38860935365304e-05
9530082P21Rik	0.013248786325283	0.0284966966843108	-0.0502944402952625	-0.013248786325283
Cxx1a	0.00343706439794289	-0.000177587243467947	0.000177587243467059	-0.000342973376113775
Secisbp2	-0.0784039560831822	0.00131116175065848	-0.00131116175065671	0.0478917773859777
Cxx1c	0.0183000292984303	-0.0473059059948859	-0.0183000292984312	0.0487862257641307
Cxx1b	-0.0171780727301627	0.00109099173820226	0.0151395579595865	-0.00109099173820226
Cacna1h	6.06540367353858e-06	-6.06540367376063e-06	0.000577830296150328	-5.05205301513101e-05
Calhm2	0.00654730071765997	-0.0573593738138598	0.0351082966698115	-0.00654730071765819
Cacna1a	-0.0269461945312228	0.0128642391374818	-0.0128642391374809	0.0153745627978275
Cacna1b	-0.000559443061775022	0.000608865833196859	0.000559443061775022	-0.000598087349677034
Cacna1c	0.0243337946919553	0.00424241002095993	-0.00424241002095993	-0.0433692463570878
Cacna1d	0.00191507564239402	-0.00191507564239402	0.017612687380141	-0.0065776918403575
Cacna1e	0.000636410831963807	-0.000636410831963863	0.00400669882580679	-0.000648764699980209
Cacna1f	0.00254225102324279	9.56420016740012e-07	-9.56420016740012e-07	-4.36644683854404e-06
Cacna1s	-0.00157081076692456	0.00192645539233149	0.00157081076692456	-0.00542910775032857
Xrn1	0.0847395550273369	-0.0709306343428064	-0.00344292233425669	0.00344292233425669
Xrn2	-0.0339871384339574	-0.0338999333697583	0.0894636794896826	0.0338999333697565
Pde11a	-0.0169547867339626	0.0130045259256448	0.0187956545055128	-0.0130045259256448
Nubpl	0.000818524265973508	-0.000818524265973508	-0.0368115880421378	0.0125367569243489
Dqx1	0.0181261240417028	0.0297070558482639	-0.0262836926153538	-0.0181261240417019
Dynlrb1	0.0270165360986319	-0.0333593726214634	-0.0188591169311749	0.0188591169311767
Mir7223	0.000162712346029881	-0.00110740507699736	5.33989131173973e-05	-5.33989131173418e-05
Mir7227	0.000898727700784807	-0.000898727700784807	0.00531852563104618	-0.0122672185313331
Cnot8	-0.0535762214958915	0.0539234235316393	-0.0222536957604031	0.0222536957604014
Cnot3	0.00643913661582296	0.0688208812046991	-0.0455130000949939	-0.00643913661582296
Cnot2	-0.0559348043205006	0.0642167427553844	-0.087004856091415	0.0559348043204988
