"stat.mean"	"HJV5JBCXX_PR0478_01A0202"	"HJV5JBCXX_PR0478_02A0403"	"HJV5JBCXX_PR0478_03A1105"	"HJV5JBCXX_PR0478_04A1206"	"score"	"pval"	"FDR"
"Metabolism_of_cofactors_and_vitamins"	0.0783853357089159	-0.552161110440257	-0.361623084159511	0.76763748214893	0.459688055286502	1.0705548660176	0.027433807787238	0.204090384300889
"Biosynthesis_of_other_secondary_metabolites"	0.0769059209614123	-0.668052930277079	-0.14963786503332	0.4242286189722	0.701085860183848	0.971502637233224	0.0805865742462661	0.358162552205627
"Signal_transduction"	0.0730094096315106	1.56764369556618	1.61884932663315	-1.55330502173452	-1.34115036193877	-3.04047420293631	0.00128562569232672	0.0514250276930689
"Folding,_sorting_and_degradation"	0.0629650658564083	0.370116998052879	2.20192282971038	-2.48472608108139	0.164546516743768	-2.44610969605044	0.268121467732513	0.679079113882757
"Metabolism_of_terpenoids_and_polyketides"	0.0559830935183294	0.197939459093556	0.669897865673482	0.534825241499995	-1.17873019219372	-0.755871137730382	0.484601992624021	0.701684220839228
"Transcription"	0.0362691772326478	-0.0904096564909297	1.75157185575634	-1.3441828495733	-0.171902640761518	-1.58862384480011	0.282866462544751	0.679079113882757
"Endocrine_system"	0.0274633099833615	0.475974141247799	1.14861058980717	-1.29518895788864	-0.21954253323289	-1.56965811108825	0.131785109692835	0.527140438771341
"Carbohydrate_metabolism"	-0.329129534272987	0.331206706524197	0.472419216085726	-1.24769338483673	-0.872450674865141	-1.4618849911559	0.0182900804919052	0.182900804919052
"Replication_and_repair"	-0.215586533251983	-1.81651027844082	-0.656934288477369	2.68482478359713	-1.07372634968687	2.04227150041422	0.408137545587811	0.679079113882757
"Cancers"	-0.200443348107554	-0.600849388706423	0.36322365254272	-0.396117654059123	-0.168030002207389	-0.163260960051404	0.77302625645325	0.875191006053147
"Environmental_adaptation"	-0.168061505384237	0.977573824039986	-0.0291701227022821	0.633500582001156	-2.25415030487581	-1.28452671210618	0.489286668951099	0.701684220839228
"Sensory_system"	-0.0975865280202507	-0.104616441322012	0.232398770068969	-0.514280380136519	-0.00384806069144094	-0.322955384787458	0.401688596626021	0.679079113882757
"Metabolism_of_other_amino_acids"	-0.0902206242305374	-1.52178323076376	-0.721053691558296	0.953969427156336	0.927984998243568	2.06239567386098	0.0357158172526556	0.204090384300889
"Membrane_transport"	-0.0859305039933444	0.346034086787254	-0.48757355172465	-0.181873422965908	-0.0203091280700739	-0.030321543049293	0.949563591464291	0.949563591464291
"Substance_dependence"	-0.0689991099182345	0.0553751444896063	1.12029729671474	-0.367114370282277	-1.08455451059501	-1.31367066104082	0.177366938432499	0.644970685209089
"Glycan_biosynthesis_and_metabolism"	-0.0600793488979656	1.16465037408648	-0.924315126954795	-0.404140223198152	-0.0765124195253988	-0.360493944927618	0.765612101582504	0.875191006053147
"Cardiovascular_diseases"	-0.0474265299655498	0.0809263022860965	-0.649670612016248	0.823114019130807	-0.444075829262855	0.473891249799052	0.58346274626159	0.752855156466567
"Cell_growth_and_death"	-0.0420032142568726	-0.0410102644316283	-0.887523886997339	-0.217417227962406	0.977938522363883	0.844527722915222	0.368056340530048	0.679079113882757
"Amino_acid_metabolism"	-0.0412964480277291	-1.38819385686377	0.487404062722906	0.648305171655602	0.0872988303743486	0.818196898085408	0.491178954587459	0.701684220839228
"Translation"	-0.0427566512529911	-4.25376778750007	4.74755848790086	-6.66240244441993	5.99758513900717	-0.579304002906777	0.947332772853465	0.949563591464291
"Aging"	-0.0287001797725853	0.958333776321469	1.90190686449843	-1.20764357512648	-1.76739778478376	-2.91764100036507	0.0335787618250077	0.204090384300889
"Cellular_community_-_eukaryotes"	-0.0244463537379277	1.35132087775248	1.48597079355199	-1.73498881055038	-1.20008827570581	-2.88618437878033	0.0090078707749907	0.180157415499814
"Immune_diseases"	-0.0125673764109743	-0.0764897721079645	-1.56937245418252	0.281877494500875	1.31371522614571	1.62072747346853	0.215991796385889	0.679079113882757
