gset	gset_gene_num	included_basis_genes	p_value	q_value
map03320	57	0	1.0	1.0
map04514	108	1	0.317444457543	1.0
map04510	163	1	0.437533839429	1.0
map04512	65	2	0.0227958137047	0.784932750071
map00130	9	0	1.0	1.0
map00500	22	0	1.0	1.0
map04972	73	0	1.0	1.0
map04670	88	1	0.267564379108	1.0
map04672	36	0	1.0	1.0
map04970	59	0	1.0	1.0
map00604	14	0	1.0	1.0
map04350	67	0	1.0	1.0
map03022	41	0	1.0	1.0
map04213	54	0	1.0	1.0
map04974	62	0	1.0	1.0
map00680	24	0	1.0	1.0
map00430	6	0	1.0	1.0
map03440	39	0	1.0	1.0
map00640	31	0	1.0	1.0
map00643	3	0	1.0	1.0
map00720	14	0	1.0	1.0
map00310	50	0	1.0	1.0
map00311	0	0	1.0	1.0
map00860	31	0	1.0	1.0
map00940	1	0	1.0	1.0
map00944	1	0	1.0	1.0
map05110	45	0	1.0	1.0
map04640	77	0	1.0	1.0
map00260	31	0	1.0	1.0
map00261	2	0	1.0	1.0
map00565	34	0	1.0	1.0
map00380	32	0	1.0	1.0
map04630	114	3	0.0082813265816	0.784932750071
map05230	57	0	1.0	1.0
map05231	87	0	1.0	1.0
map04730	55	0	1.0	1.0
map04392	22	0	1.0	1.0
map03060	24	0	1.0	1.0
map04390	120	1	0.345699429889	1.0
map04391	62	0	1.0	1.0
map04015	170	1	0.451191746202	1.0
map04014	182	1	0.473825220687	1.0
map00040	22	0	1.0	1.0
map04540	75	0	1.0	1.0
map04011	28	0	1.0	1.0
map04010	247	1	0.580926609698	1.0
map04013	71	0	1.0	1.0
map04012	76	0	1.0	1.0
map00750	8	0	1.0	1.0
map04070	89	0	1.0	1.0
map02010	41	0	1.0	1.0
map04080	145	1	0.400803143889	1.0
map04940	45	1	0.147379584668	1.0
map04120	128	0	1.0	1.0
map04122	8	0	1.0	1.0
map05322	63	0	1.0	1.0
map03050	43	0	1.0	1.0
map04260	56	0	1.0	1.0
map04261	111	0	1.0	1.0
map04068	118	0	1.0	1.0
map03013	149	0	1.0	1.0
map03015	81	0	1.0	1.0
map04060	175	1	0.460740374544	1.0
map04062	151	1	0.413310347076	1.0
map04064	87	0	1.0	1.0
map04066	83	1	0.254524717237	1.0
map00760	30	0	1.0	1.0
map00440	5	0	1.0	1.0
map05166	238	0	1.0	1.0
map05167	173	2	0.126575758181	1.0
map05164	138	2	0.0872024924377	1.0
map05165	278	4	0.0188812628954	0.784932750071
map05162	107	2	0.0562533090624	1.0
map05160	100	2	0.0499187945234	1.0
map05161	124	3	0.0103935425914	0.784932750071
map05168	172	3	0.0245313645925	0.784932750071
map05169	193	1	0.493737800228	1.0
map00909	2	0	1.0	1.0
map00908	1	0	1.0	1.0
map00903	3	0	1.0	1.0
map00901	1	0	1.0	1.0
map00900	21	0	1.0	1.0
map05012	117	0	1.0	1.0
map05010	147	0	1.0	1.0
map05016	165	0	1.0	1.0
map05014	43	0	1.0	1.0
map00220	16	0	1.0	1.0
map04016	11	0	1.0	1.0
map00340	18	0	1.0	1.0
map00830	36	0	1.0	1.0
map01522	84	0	1.0	1.0
map01523	28	0	1.0	1.0
map01521	71	0	1.0	1.0
map01524	69	1	0.216742622487	1.0
map04110	122	2	0.0706808128328	1.0
map04111	70	1	0.219504836835	1.0
map04112	3	0	1.0	1.0
map04113	56	1	0.179915188064	1.0
map04114	99	1	0.295440842297	1.0
map04115	62	1	0.197126534706	1.0
map00120	10	0	1.0	1.0
map00534	18	0	1.0	1.0
map00532	17	0	1.0	1.0
map00533	11	0	1.0	1.0
map00531	15	0	1.0	1.0
map05340	31	0	1.0	1.0
map04341	24	0	1.0	1.0
map04340	35	0	1.0	1.0
map04024	148	0	1.0	1.0
map00010	53	0	1.0	1.0
map04020	126	0	1.0	1.0
map04022	127	0	1.0	1.0
map00400	4	0	1.0	1.0
map00401	0	0	1.0	1.0
map04932	132	0	1.0	1.0
map04933	87	3	0.00393008087077	0.784932750071
map04930	36	0	1.0	1.0
map04931	92	0	1.0	1.0
