"stat.mean"	"HJV5JBCXX_PR0478_01A0202"	"HJV5JBCXX_PR0478_02A0403"	"HJV5JBCXX_PR0478_03A1105"	"HJV5JBCXX_PR0478_04A1206"
"map04216"	0.132712470874817	-0.363030571507236	0.47081620412916	-0.846962078129514	1.27002632900686
"map05322"	0.129936546655643	-0.478542503720694	-0.388180491931228	0.718692501266462	0.667776681008031
"map00510"	0.128194804798948	0.576154989567414	0.274660158203992	-0.35025688547005	0.0122209568944382
"map03030"	0.150508640970842	-0.417970449970961	-1.31067148540413	3.06020647295534	-0.729529973696882
"map00600"	0.127256767995681	0.482140091534031	0.712760327476435	-0.00151303097460097	-0.684360316053141
"map05168"	0.126540964712261	-0.913393651229722	-1.5870583158426	1.41957300269135	1.58704282323002
"map05412"	0.1278540189942	1.78500982056078	-0.672159428780956	0.410778417997141	-1.01221273380016
"map04721"	0.12429137382181	0.617124452454619	0.620880693605272	-0.941392332437083	0.200552681664431
"map00983"	0.123528379057241	0.0524834552204096	-0.863361548494283	0.685563128075793	0.619428481427045
"map04140"	0.121849502362725	1.39014508164724	1.12899583366207	-1.7768806359629	-0.254862269895508
"map05323"	0.120933155372993	0.0855734645425976	0.246425609791132	-0.394457157570259	0.546190704728503
"map04141"	0.115546450271227	1.78485852821404	2.34851039917568	-3.61948809114886	-0.0516950351559642
"map00591"	0.118144634467918	-0.185759300929479	0.160742051255185	-0.0487381823475773	0.546333969893543
"map04080"	0.116940174358897	0.169378877752254	-0.826097059762846	0.635478795356719	0.489000084089461
"map04971"	0.115894646301417	0.489079477314632	-0.571998149686509	0.133293326858557	0.413203930718986
"map04145"	0.114768529113584	0.44565394931088	-1.97961384626516	0.143358449550008	1.84967556385861
"map00533"	0.138189422694549	2.06661123204166	-0.426332049773203	-0.225395533111111	-0.86212595837915
"map04664"	0.106691977075953	0.530671363341748	1.54653774563646	-2.54583230937259	0.895391108698192
"map05143"	0.112593184256976	0.214664619117873	-0.559956917912868	0.656943559289241	0.138721476533655
"map05150"	0.110004332291382	0.0279617721888955	-1.23668232953724	0.757138041391662	0.891599845122208
"map03018"	0.106357075048849	0.722524993520929	0.64058711773527	-0.588859997903172	-0.348823813157632
"map04013"	0.10649925111743	1.08517643908653	1.50634421766407	-0.920494096049424	-1.24502955623146
"map04138"	0.104417673321385	0.959092207400281	1.12324475813763	-1.04564180197847	-0.619024470273899
"map04024"	0.10370434588511	0.645229410645499	0.239503970126075	-0.580022913640169	0.110106916409034
