baseMean	log2FoldChange	lfcSE	pvalue	padj
Mkl1	4834.88862577352	-0.0269844884714171	0.0668886787928164	0.440412684356827	0.999958094925527
Mkl2	1158.53052528549	0.00187791312395771	0.0699967112429995	0.936243373025679	0.999958094925527
Lmna	555.684963869919	0.0171425238090619	0.074610703471941	0.334909238753899	0.999958094925527
Fndc3c1	0.246378376321627	0.000344134639790627	0.0740228568718565	0.821923958996323	NA
Mcemp1	5.14143532880673	0.000634234368666233	0.0740264947787376	0.340303878180336	NA
Sorcs1	0.810033077205118	-0.000398724597043224	0.0740243069632022	0.631329514624404	NA
Supt16	1348.35815081753	-0.00632052658469352	0.0696416591889222	0.793882144255684	0.999958094925527
Trim34a	3367.36436304731	0.29781038268496	0.154011091303102	0.00228728243665985	0.141300572156263
Trim34b	29.011804957856	-3.70311241140266e-05	0.0738984316654446	0.988596479799485	0.999958094925527
Prepl	626.812552685784	-0.00983567103294413	0.0724701763462317	0.590704497000034	0.999958094925527
Cdhr1	17.7877182345762	0.00355949867312532	0.0741041153081412	0.184216165216876	0.953043903758868
Cdhr2	0.246378376321627	0.000344134639790627	0.0740228568718565	0.821923958996323	NA
Gm36633	0.492756752643254	0.00037111824656165	0.0740234504425618	0.732235940343269	NA
Tcof1	6452.09064326203	-0.0644896190959995	0.0808080898316357	0.131437851686391	0.906087400609909
Gm3279	0.223540666469858	0.000308420265737918	0.0740225407684862	0.822931636861443	NA
Prmt10	1287.51586000101	-0.0341561206784479	0.0797840763443561	0.185872747416181	0.953043903758868
AI662270	1834.8534068509	0.030694087097965	0.0761841086511279	0.271736878343356	0.999958094925527
Olfr520	0.739135128964882	0.000411285391815394	0.074023966527275	0.680630689633012	NA
Olfr525	1.8150774103186	-0.000447778198981805	0.0740246724713529	0.529829521367973	NA
Olfr524	2.46378376321627	0.000439723137978991	0.0740245179355582	0.537190396154591	NA
Gm10640	19.6678324201306	0.00424796448626581	0.074147887603802	0.175080685832952	0.946425257410498
Zik1	92.7339251428436	0.00194845595530269	0.0736740231989822	0.798568476669007	0.999958094925527
Usp8	3930.80198192271	0.0368854659894066	0.0722719144619934	0.298549849337344	0.999958094925527
Usp1	4305.33532536815	-0.00271383698619675	0.0639553266375714	0.931679617808127	0.999958094925527
