TF	Number_of_ChIPexp	t_score_mean	baseMean	log2FoldChange	lfcSE	pvalue	padj
GATA3	19	-0.814757696748	8.84769441592	-1.55412833546	-1.29593196507	-7.31164866847	-2.75977393066
GATA1	49	-0.216100819829	10.2566816918	0.480421253764	1.09748090053	-10.3594902769	-2.55559766831
NOTC1	5	-0.247760189206	6.05497235794	-0.786480153973	0.0138927916599	-5.86025397656	-0.660931965097
CCND1	1	-0.270323119892	5.64997197471	-1.76056616482	-1.59067706321	-5.80177741573	2.15143306959
MAX	7	0.341967924563	8.39867540262	-0.580551342877	0.200797833973	-7.99919049449	1.69010822358
MAZ	2	-0.509338588841	8.11162465348	-0.953946949145	0.540110316279	-8.7944949741	-1.44998599072
AHR	11	-0.281532807873	2.65935334708	0.973019853432	1.04572509471	-3.20686790318	-2.87889443141
CSN1	2	0.0495418230278	7.0236857557	-1.90986710171	-0.870611004851	-6.11434361505	2.11884508105
MAF	6	-0.69048663153	12.0009412622	-0.863864110368	0.0433847442813	-11.344148679	-3.28874637477
CTCF	116	-0.766781320342	5.04126817688	0.279784817454	0.989576061336	-8.90575607294	-1.23877958444
ATF7	1	-0.0822896425759	4.68438282466	0.702101734223	0.810477966948	-4.91258921542	-1.69582152329
BACH2	1	-0.464119628766	8.4301323819	-0.421999937531	0.406937450778	-6.94283886263	-3.79282917634
SOX17	8	-0.612976653933	7.42791653294	-1.41350402419	0.115297835419	-7.50177293976	-1.69282067408
ZIC2	2	-0.509547317301	3.3572911328	-0.0586906648347	-0.0779138271593	-4.29478024784	-1.47364297948
ZIC3	2	-0.515405693388	0.952818323074	0.0119564125803	-0.0882003141619	-1.505907153	-1.94769573543
DMAP1	2	0.174455742073	7.03776766385	-0.670218446033	-0.209704127931	-6.47230473847	1.18673835895
NFIL3	1	-0.914413936443	1.85509618757	-0.819546245001	0.0975992463664	-4.32775361184	-1.37746525931
NR1H2	1	-0.273175916872	1.86035548139	-0.619550986113	-0.366203203437	-2.26948955281	0.0290086766011
PEBB	5	-0.617024222971	10.134119942	-2.38482816836	-0.779761344624	-8.83456292931	-1.22008861457
PPARA	4	-0.825348931586	4.76469756832	-1.47151266947	-0.612370668037	-6.31915423722	-0.488404651528
ING1	2	-0.401809742462	9.12116170659	-1.87397985071	-0.542655062892	-8.97013181244	0.256556307139
PHX2A	1	-0.506688004253	0.566041019465	-1.35955613698	-0.0440182366931	-0.526777660974	-1.16912900609
PSIP1	3	0.00659384665481	-0.536949317087	0.416220914715	0.494995214447	-0.168913349085	-0.172384229717
TFAP4	1	-0.581475873906	8.20846679543	-0.939841395038	-0.34228883616	-9.21724983038	-0.616466103381
PTF1A	8	-0.242308263134	1.61502413795	-0.572362289983	-0.314830243931	-1.67824235458	-0.261130565124
RING2	44	-1.16089296617	2.89786421074	-1.62679256709	-0.510796259826	-4.7731153537	-1.79162486096
RING1	2	-0.383145338279	5.01521344536	-1.15858866908	-0.857541810304	-5.79146698337	0.876657326006
PRDM4	4	-0.459092515959	1.56128566938	-1.11850387652	-0.529146025518	-1.98280116769	-0.226297179444
PRDM5	1	-0.306989546349	0.333200288462	-0.86052490645	-1.01188124943	-1.0519631524	1.05622128807
CBP	14	0.0340821191118	7.74331367496	-0.917473553049	-0.0789674815397	-6.863046259	0.286584214185
PRDM1	3	0.0850484597981	3.17299122845	0.662676041827	-0.0291596606272	-3.19034073812	-0.190924572543
TF2L1	1	-0.552708790128	3.1427213018	-0.522024485979	-0.0458179023043	-4.07732720891	-1.26109565525
PRDM9	1	-0.564612410205	-1.22030447836	-0.652396646109	-0.363551933341	0.201546614412	-0.788355607631
ASH2L	2	0.0554123611939	9.94084637179	-0.929703034551	0.148558081285	-9.20311756556	0.320477953011
SMAD4	2	0.459783434877	2.7570599765	0.568560619518	-0.0111030344068	-1.13351162344	0.117911236209
SMAD5	1	0.0330324546741	0.300668516198	0.0898370384454	-0.0876340578111	-0.504948451037	0.367239227576
TLE1	1	-0.558727041669	1.78999402804	0.529739817572	0.599543213659	-3.71882999043	-1.99408227719
SMAD1	8	0.19481836283	3.98719940152	-1.5267114695	-0.435562129995	-1.53463815435	0.483804166471
SMAD2	2	-0.802923233271	0.309256611924	-0.688048914307	-0.370070830252	-1.58945284792	-1.6763001858
SMAD3	11	-0.728966066306	5.81120247648	-1.74732442621	-1.04044251476	-6.89576958008	0.227503713039
REL	5	-0.404005287889	3.50905152946	0.318152539916	-0.0557064660423	-3.46793558655	-2.32358845623
UTF1	3	-0.694700104086	3.96432674951	-0.631728135703	0.113712382449	-6.00496542757	-0.91484608911
NCOA3	1	-0.213491822999	-0.385435542016	-0.410013537767	-0.259793181736	-0.0965273775445	0.0843105240672
NCOA1	1	-0.340253828518	3.26642579776	-1.74596344551	-0.713165682938	-2.70063876915	0.192072957247
KANL3	4	0.0983749913436	7.92699575521	-3.42969375228	-1.58870536498	-6.84234607977	4.42562439854
SMC3	12	-0.838024389683	4.27275477326	0.320454597151	1.07815800783	-7.5991431927	-2.26234613396
SMC5	5	-0.667009217641	10.4562179278	-0.477260268442	0.484311573427	-10.658939389	-3.13937593199
PO2F2	1	0.531419294758	2.73979892277	0.457110541623	0.199032188129	-1.15839336716	0.419548188423
ELL3	1	-0.32367354636	4.76773166454	-1.08719975942	-0.654053665417	-3.89411767967	-0.750728291832
ELL2	3	0.577028045086	5.04567490573	-0.311011581307	0.130997289067	-1.5720301479	-0.408490240159
MECP2	8	-0.702099853259	-0.270438862334	0.413611267251	0.896616456198	-2.12886571459	-2.42142241282
RXRA	33	-0.623518553141	8.4371733934	-2.06970066352	-0.999957134519	-8.91759002187	0.432481660804
SPIB	2	0.0987392696204	10.405537651	-0.0342317917924	0.582299403224	-8.88011464685	-1.57979426745
OLIG2	2	0.046969113415	1.74976730651	-0.213194448922	0.494089738056	-1.38523807441	-0.410578954159
YAP1	1	-0.0544527990276	0.109635854336	0.330406337313	-0.00422921331277	-0.325683308315	-0.382393665159
MSGN1	1	-0.53047873823	-0.856115664244	-0.44668123239	-0.108916506904	-0.952799651972	-0.287880635639
CXXC1	1	-0.0265055926105	6.73560180914	-1.15186331334	-0.0469425286904	-7.22822304045	1.55889911029
TBP	13	-0.183219416317	10.2203071966	-1.6329197901	-0.509155967289	-10.0025085469	1.00818002613
UBP16	3	0.0933315741456	2.83773089717	-2.13813397356	-0.655008971013	-0.940302489823	1.36237240796
DNJC2	1	-0.226967078429	0.151189158103	-1.03292334737	-0.682873762175	-0.0174757999162	0.447248359209
