TF	Number_of_ChIPexp	t_score_mean	baseMean	log2FoldChange	lfcSE	pvalue	padj
SRSF2	3	-0.298090656544	2.27503699964	-0.952139332501	-0.386092080507	-1.07039064967	-1.35686821968
EGR2	11	-0.468457510633	10.9048827255	-2.55934363683	-1.08737137068	-9.60916792624	0.008712655051
EGR1	5	0.163556640379	6.60344098954	-0.885779806795	0.199905440805	-4.94986317983	-0.149920241818
JUN	13	0.0500705245897	11.1898670703	0.127663419904	0.811294475824	-10.2080038795	-1.67046846358
MEIS1	13	-0.595660927209	9.79619320037	-0.671083695642	0.304169338876	-10.7252566872	-1.68232679242
SIR1	3	-0.391558194373	6.97648338637	-1.2990966924	-0.687323984707	-7.68881714905	0.740963467918
SIR6	11	-0.326773984146	7.36604539708	-1.98742121274	-0.821030946145	-8.10221771511	1.91075455618
NFE2	4	0.299620409966	4.14055530603	0.271261557684	0.90815668473	-2.93026147288	-0.891610025732
FOS	13	-0.6691196613	8.09858309596	-1.9847883759	-1.15156870525	-7.8929217596	-0.414902561716
SMRC2	2	-1.1382274312	-0.446183680096	-0.733143543212	-0.681708349297	-1.16999184617	-2.66010973725
PARP1	1	0.22281816618	-0.441874870905	-0.0526301808206	-0.10717409753	1.07969297946	0.636077000693
ZN335	6	0.209918906854	2.24684916009	-0.951588057848	-0.788856951139	-0.684119657545	1.22731004071
PAX5	12	-1.1017897665	11.4108541996	-1.65695736084	-0.484850693299	-10.8272357513	-3.95075922665
PAX7	1	0.0460285608803	2.2778576849	0.716468224918	0.345975878889	-1.76318491829	-1.34697406601
PAX6	4	-0.563459141163	4.69245072812	-1.35443306756	-0.318844959879	-6.0165247935	0.180056386997
PAX3	1	0.512976860469	0.499222795807	-0.332936435158	-0.449034666212	1.01982876427	1.82780384363
TAF9B	1	0.000197163075642	2.51480783097	-0.637278120936	-0.405847759532	-3.02223617717	1.55154004205
PWP1	1	-0.54770851429	1.7115699885	-0.451076098043	-0.303984088577	-2.65847360228	-1.03657877106
LMNB1	1	0.285406779238	0.0823388083109	-0.0125553106115	-0.11100745027	1.10101862118	0.367239227576
JHD2C	1	-0.0264502024109	0.481635783768	-0.188917690248	-0.0923815141851	-0.699826818964	0.367239227576
ESR1	27	-0.751520868041	7.50651485269	-1.50365250264	-0.511271740643	-8.16784504992	-1.0813498997
INSM1	1	-0.588924140405	5.05990648193	-1.56343185557	-0.510159037295	-6.8675598411	0.936623550003
MYCN	1	1.4413403433	6.34726948023	0.315296898219	0.381180119097	-1.95261824404	2.11557346297
SRBP2	1	-0.721481087827	5.35121100014	-2.72322198306	-0.657627430749	-5.28871044114	-0.289056584315
SRBP1	6	-0.0819667672325	0.246602670087	0.194366358395	-0.210125743679	-0.281266740696	-0.35941038027
TYY1	5	-0.195390935232	10.1923079939	-2.83692638131	-0.888118688283	-8.69846707165	1.25424947115
ZBT17	8	-0.874307229382	9.5027371135	-2.34897079105	-0.0970380770968	-9.33310996052	-2.09515443174
TBX5	1	-0.754227564064	5.57441367868	-1.88810937902	-0.893670228995	-7.3137939564	0.750022065414
STAT6	10	-0.631451945024	12.4674188568	0.709116584927	1.22954295166	-12.5828088333	-4.98052928526
EHMT2	2	-1.26920772892	1.5858142443	0.944372150742	0.867282820507	-5.2761368955	-4.46737096463
STAT3	41	-0.936729657605	15.1958700669	-1.14109058919	-0.403142859471	-14.1778382311	-4.1574466752
STAT2	7	-0.831674850711	9.46440298774	2.309714173	1.59429239453	-11.5953610741	-5.93142273471
STAT1	42	-0.731749103603	14.2885141637	2.74709908034	2.07493096867	-15.8264162456	-6.94287348508
FOSL1	1	-0.387357865612	1.26853154899	-0.0059312329266	-0.712829710732	-1.83646980158	-0.650090131805
FOSL2	6	-0.872984674536	10.1082122059	-0.868233504187	-0.0127294565438	-10.4243140351	-3.16785858276
ANDR	18	0.193390555927	3.02934628534	1.38534471778	2.13935790388	-3.7279656784	-1.85913044897
SRF	16	-0.279213972383	8.56538362456	-2.15518446839	-0.838005945077	-8.12960583288	1.16134275988
SALL4	6	-0.717509182387	7.69778932011	-1.1256659648	-0.00564390895383	-8.23253494396	-1.92149041432
USF1	3	-0.0501292290668	5.42811649965	-1.06326889741	-1.03750834114	-5.13467348349	1.55668807705
ATRX	6	-0.731913641752	6.63533178908	-2.94683100572	-0.764236800712	-6.42229640316	-0.161535788245
NKX61	1	-0.114311488393	6.49900018887	-1.26664604606	0.35231015977	-6.90142143371	0.745199689166
GM6871	1	0.128868287597	-0.175668390308	1.00885673715	1.07654088322	-0.418954590392	-0.846433201679
TDG	1	-0.547701604851	3.8672302252	-0.647124712999	-0.169591007891	-6.03141224878	0.242389720215
TF2B	5	-0.238304114885	9.74301901521	-2.02397885113	-0.836694808363	-9.17882180787	1.10495587773
MAFK	4	0.072170030491	5.13004915206	0.904220958765	1.16273103546	-5.07142420784	-1.764726786
SOX9	1	-0.00525570980057	1.31916347054	-0.373983927338	-0.0953919011112	-0.784028035159	-0.0920381559326
AFF4	4	0.539812495578	7.18384122282	-0.837645740687	-0.603194946303	-2.01779538757	-1.02614267037
GABPA	2	-0.0505836496739	5.56412062902	-1.84098230195	-0.780377873232	-4.74476616167	1.54908745946
T2EB	2	-0.0430600007762	9.27767953585	-2.27210660354	-1.21744924164	-7.7235041518	1.72008045725
MYBA	2	-0.212498694979	4.94834129953	-0.3749887223	0.215010506098	-6.11068815148	0.259831593267
FOXO3	1	-0.370357121053	2.12580358303	-1.1042539572	-0.435129914359	-2.44695445095	0.0087491342219
SOX2	30	-0.573648860146	8.11180066207	-1.38281148041	-0.0765917679614	-9.20078896262	-0.319852751811
FOXO1	10	-1.445886074	13.7730895151	-4.15283553319	-0.620945529433	-12.5473732211	-3.68136560141
CNDD3	4	-0.0348986514351	8.11972102648	-1.90456755517	-0.470580001655	-7.74534748673	1.8262807599
SOX3	6	-0.459440476426	5.56989106627	-1.13759090061	0.133179056525	-5.39404351364	-1.46863809068
TEAD2	2	0.281309201263	0.696861083104	1.369466847	1.40688189013	-1.02858724459	-1.03807656932
TEAD1	1	-0.883649717534	3.63010535229	0.601089965274	0.96955434771	-5.51095873415	-4.10803951879
TEAD4	3	0.276938998079	6.31892273539	-0.104049639274	0.743600512254	-5.2186170931	-0.355161524876
NPAS4	3	-0.0418859480473	0.633393397254	-0.0756546981525	0.322691877381	-1.45678599842	0.366925681701
NPAS2	1	0.32057100282	1.43089199497	-0.99671145938	-1.26021719516	0.13194190911	2.29694976455
NIPBL	4	-0.740238734706	9.06768339431	-1.93634052422	-0.526378961767	-9.49908077909	-0.807076802763
ZFP42	1	-0.0413034976523	2.49105207709	-0.78809274291	-1.17434773738	-1.25626864664	0.521139561574
DMC1	23	-0.780042333473	4.16006102735	-1.3631863037	-0.539852948036	-5.93204587492	-0.225187568057
HXA9	3	-0.0338118987957	2.65502024927	-0.801755082078	-0.311531171622	-1.46573076995	-0.245062719602
RBTN2	2	-0.179985826975	6.99912753875	-0.503046796271	0.697991088655	-6.78844903275	-1.30555193326
KMT2C	7	-0.24260953266	8.05489799289	-1.55107841785	-0.502066014931	-8.77701587894	1.56221465553
KMT2B	3	-0.492765231715	4.60791811947	-2.05444794017	-0.845708784621	-6.31424613361	2.14265858036
KMT2A	7	-0.356633154032	6.77385150221	0.227382253284	0.789192557565	-7.44028374152	-2.1333083417
KMT2E	1	-0.125699056838	1.04852151721	-0.0245870482776	-0.0780789079351	-1.94216975967	0.36781891448
KMT2D	13	-0.412137975161	8.60049623594	-2.01288425091	-0.666474027862	-8.49144938244	0.50962154946
HCFC1	4	-0.144880316106	9.4433607028	-2.04226267655	-0.793429838308	-9.54284251594	2.21077274747
ARX	2	-0.233312369286	0.703685401381	1.14817902043	1.63915520429	-1.65428497085	-3.00329650167
CTCFL	1	0.215952964104	1.73835973814	0.206514535641	0.217065186271	-2.26090379085	1.17872915131
BCL6	8	-1.16990360215	6.58996689888	-2.75018398881	-1.73836725629	-8.22173347229	0.27079980774
ISL1	4	-0.402111430747	1.67571997513	-0.87623789286	0.0688739407572	-2.55205789695	-0.326855279809
CDX2	11	0.181919474711	2.92630449471	1.28637987772	1.47695019221	-3.56593904825	-1.21409814284
ARI3A	2	-0.781446991415	4.71288726613	-1.8968217352	-1.05389053957	-6.63123952999	0.961829581546
MAFF	4	-0.319119350865	2.93238302661	-0.482072968437	-0.275916224041	-3.18930141163	-0.58068917682
EOMES	2	-0.0274073628225	5.55995357029	0.904345499379	1.02862147032	-5.69010402193	-1.93985333217
KDM4A	2	0.173185183886	1.21779472192	0.0379128982697	0.816792967524	-0.927716749482	-0.2788579188
TLE3	1	-0.554942956649	1.79674113932	0.531166511258	0.600772831313	-3.69922330014	-2.004171965
PHC1	1	-0.723436839924	-2.52928059538	0.332957231765	0.888580053549	0.243996152615	-2.55343704217
TLE2	1	-0.558727041669	1.78999402804	0.529739817572	0.599543213659	-3.71882999043	-1.99408227719
MYC	47	0.351219595812	11.6930234641	-1.94863029536	-0.563123920932	-9.76023281306	2.33506154431
MYB	2	-0.882140830561	2.98651804864	-1.27882088045	-0.453490334853	-3.94350067333	-1.72141031281
DDIT3	1	-0.064028113167	1.4771483621	0.0737275936654	-0.294164274351	-1.46757243889	-0.109279808355
FLI1	11	-0.0416361395414	12.9025508347	-1.55650967545	-0.600693233615	-11.452735449	0.499206825592
RBP2	1	-0.244229732884	4.19537773546	-0.788235420569	-0.27430892032	-5.82269084925	1.46870879025
TLE4	1	-0.558727041669	1.78999402804	0.529739817572	0.599543213659	-3.71882999043	-1.99408227719
TBX3	5	-0.733190485687	5.31272920528	-1.67267211274	-0.295322124095	-7.35590552264	0.345218125759
ZKSC1	2	0.0363154760323	4.68543983966	0.58665667792	0.0135000068744	-3.67167980809	-1.4323393362
CTR9	1	0.00968144183948	5.07976348664	0.0418593096506	0.237325377176	-4.82996048475	-0.480580479512
GRIP1	2	-0.125012696145	8.12965355311	0.773678433493	1.54855420501	-8.4659780512	-2.61097162113
KDM5A	3	0.676367792932	5.36809446472	-0.158873358721	-0.0439408946309	-5.1333365141	3.3498952674
KDM5B	1	0.192052740276	0.926403983894	0.39846496714	0.281121848862	-0.20020164693	-0.445525451586
KDM5C	2	-0.0850540762648	1.74501842859	-1.59364130844	-1.23452548119	-0.764543555834	1.42242153555
BATF	22	-0.806838938608	13.9599093179	-1.51498438294	0.0123027620307	-13.2723809595	-3.21904143047
VDR	9	0.591778510367	6.9564801944	-1.11254216806	-1.27213682098	-4.46153860261	2.84862994908
RFA2	5	-1.11077152736	8.91634263455	-1.05680681847	0.0851214952889	-9.38078740285	-4.11772754532
CNDH2	2	0.239610368528	2.39914433322	-1.35955567391	-1.0067849045	-0.210082563719	1.37533065155
INO80	1	0.293254861796	6.68989098244	-1.29263825366	0.0360502695066	-5.38267442926	1.41564573995
EP400	3	-0.375111089063	4.87660459959	-1.26754472219	-0.529591161929	-6.55275808979	1.597733929
HEXI1	1	-0.268446160153	2.7513463814	-0.248125998843	0.280226671414	-2.23489935536	-1.89077849938
EED	2	-1.3340141324	-4.39299072371	-0.439621315156	0.619753063976	0.209041779315	-2.66625346644
CHD1	4	0.0293619680643	9.34739546279	-0.0999202697706	0.476877094999	-6.79261583194	-2.78492661576
CHD2	2	-0.0954040512881	8.56575105386	-0.468751261907	0.269154254608	-7.87801504498	-0.965159258027
AP2A	6	-0.791683929352	7.31018084338	-2.78143266688	-0.824470652485	-8.15533022113	0.49263305036
CHD4	20	-0.843867383866	7.39688090302	-1.47929536794	-0.121567322301	-9.1257715245	-0.889583607603
AP2C	2	-0.480684271764	6.00366203485	-1.0322332986	0.0358384624343	-6.76260511425	-0.648083443255
ASXL1	1	0.153099559128	10.2176449034	-1.80307149224	0.178152380796	-7.51593925913	-0.311288737176
RAD21	23	-1.02797157617	3.67652449771	0.780269626885	1.66040155499	-7.71316146011	-3.54389210029
OTX2	10	-0.503179740401	7.18670271614	-1.51015948897	-0.155928473025	-7.95075574953	-0.0857577066298
NR5A2	2	-0.236316779205	4.17009320605	-1.38595745461	-0.170500489147	-4.1313540743	0.336134915987
TFE3	3	0.133496704564	4.01089006524	-1.01255796496	-0.87332171088	-2.71163972134	1.25411285477
TFE2	12	-0.418107904269	11.3802619869	-1.99086975825	-0.531354312222	-10.039950874	-0.908626563694
TOP2B	1	-0.658998337595	1.39250989474	-1.02908996476	-0.0942837291014	-2.69884365618	-0.865284232669
TOP2A	4	-0.880571244314	3.75351406623	-1.65548844366	-0.585304126395	-5.0516845142	-0.86389320355
SMC1A	11	-0.893031155693	3.19337135619	0.299364489658	1.27939544375	-6.34248199535	-2.89480507271
NCOA2	4	-0.759075267738	8.76744519933	-2.32768873961	-0.8594338814	-8.96173239542	-0.413966521589
NUCKS	1	-0.383719538172	5.85756079504	-1.94596812911	-0.679449823175	-5.86007943177	0.709338898157
STAG2	2	-0.888392820611	-1.07145333407	-0.21168418272	0.710418059492	-2.48741439808	-1.38183024768
STAG1	2	-0.709052886504	0.293709357332	1.24008889547	1.30812149025	-3.94103366436	-2.44615051121
JARD2	13	-1.09286907041	-3.12484630705	-0.809697806488	-0.4288632442	2.41427502219	-3.51521301652
TE2IP	4	-0.28016287712	1.88790876216	0.0956668267147	0.216643697065	-2.73556241667	-0.865471254876
SPT5H	8	-0.16284204307	8.76006883982	-1.3474790613	-0.403171703034	-9.41872693496	1.59509864413
ETV2	4	0.0757454953564	4.52830503883	-0.932576621207	-0.555087924185	-3.45048038329	0.788567366636
TAF3	3	-0.497723043339	5.94605531484	-1.00240144301	-0.294006124611	-8.27775327334	1.13949030943
TAF1	1	0.17841970967	8.0583490619	-0.314852985261	0.709529957384	-6.08686835102	-1.47405913465
ETV6	4	0.260813543414	12.2012026111	-2.37013808573	-0.792869638676	-8.69518260628	0.961055436678
CNDG2	2	-0.349906339046	5.88629734096	-0.742025871508	0.699214700676	-6.97309710449	-0.619920760862
HNF4A	14	-0.370207109106	6.02649112006	-0.617750702388	-0.189247893361	-7.56318346281	0.492655392974
KDM1A	14	-0.186910052544	9.63225987174	-2.22461751351	-0.545746069533	-9.4048236409	1.60837708948
HTF4	1	0.119365387659	1.26691375453	0.130309594141	-0.236798861005	-0.759887419996	0.196289870624
DMRT1	1	-0.0665506426615	4.60430844165	-1.45047850107	-0.508695072504	-3.28350058241	0.305612501029
FOSB	8	0.112192943659	8.66513993017	-2.39189387549	-0.376905472042	-6.04271585705	0.707339992704
SUH	22	0.0492335147578	7.96389884008	-1.6756423156	-0.182577526083	-6.24379023827	0.384278813661
IKZF1	16	-0.695954741746	12.2582922735	-1.55568697459	0.100311520578	-12.4311341391	-1.85155638906
NCOR2	4	-0.643535019637	8.1940588455	-0.38741578342	0.440567035151	-9.69668942357	-1.76819577185
IKZF3	1	-0.863928099512	4.16400079853	-1.91298501493	-0.622772079971	-5.01219723705	-0.935686964147
NANOG	15	-0.867258135296	6.98232616304	-1.68401693308	-0.778545121935	-8.41512673947	-0.440928045041
FOXK1	1	0.208406504241	5.99391785953	-1.0750903642	-0.279426582585	-4.66921016711	1.07184177557
CHD7	2	-0.449999340966	1.9150930975	-1.29266893073	-0.190460691141	-1.2231389384	-1.45882124205
KDM6A	14	-0.361420561231	6.75287653052	-1.94132911086	-0.902005279656	-6.406632494	0.689987547837
NBN	4	-1.32379937796	6.12351145907	-2.32981504839	-1.10800952272	-7.30359833248	-2.00108544527
KDM6B	6	-0.514035093999	7.82315917483	-1.76905124203	-0.320243593021	-8.38226502102	0.0782252112468
NFKB1	11	-0.588171894806	4.52843423847	1.15597666238	0.646438498362	-4.9633209005	-4.30838797275
HELLS	2	-1.14201465676	6.03304913532	-3.66759020979	-0.785382203312	-6.28133762044	-1.0088123856
LYL1	1	-0.701951395059	0.335546106742	-0.911703996508	-0.0204041396426	-1.42059865376	-1.49259629213
ATOH1	3	-0.0958440414309	4.20836049696	-0.466559669818	0.477816998443	-4.29117005726	-0.407667975481
ELL	1	-0.358955794359	-0.261461014191	-1.48497551548	-0.415737171465	-0.507877459165	0.875272188507
H2B1A	3	-0.237479914187	-0.433688516824	0.89279774856	0.378664707511	0.0797510842344	-2.10492459441
HIRA	3	-1.19227074836	1.6929544003	-1.67516148331	-0.0677231644352	-2.42641988212	-3.48500361222
MTF2	1	-0.681723534074	-2.32887813949	-0.273667533798	0.184609602907	1.60280334188	-2.59348494187
ZN322	1	0.431531819552	2.17894039819	0.0845556854463	0.279146673546	-0.662397160085	0.277413500661
HXA2	2	-0.229631385494	0.432723299705	-0.991217586596	-0.350523798823	0.109172594338	-0.348311436095
ZN281	2	0.107902840179	1.69096824231	0.00103723976666	0.494420615079	-1.16404726052	-0.482864635742
JUNB	11	-0.943927032966	11.9805848104	0.839363769425	1.2804386712	-12.5340327092	-6.28598970669
JUND	6	-0.452963004755	9.97862724391	-1.02557216163	0.139222742048	-10.2686628813	-1.08842996679
OVOL2	1	0.224099593689	2.54601732523	0.107987429874	0.031915544466	-1.94398389163	0.378561560506
ELF1	2	-0.138395237058	13.4814193788	-2.5300961624	-1.27706085092	-9.93188686978	-0.434351680967
TAL1	39	-0.529508415581	7.5670165621	1.43657905616	1.95702138314	-8.66524240075	-4.94291667856
ELF5	1	-0.699312647048	3.92363198245	-1.22552577603	-0.815589759877	-5.03129617487	-0.347783506916
TF7L2	3	-0.589727300819	6.56664086547	-1.86324375527	-0.597696165115	-7.92521732315	0.870879873974
GRHL2	1	-1.13578805614	1.77707713462	-1.4777139393	-0.640305902638	-3.80344074124	-1.53455683215
GRHL3	4	-1.08984542785	6.30326465384	-2.92991545421	-0.550159443913	-7.3057482541	-0.966668640875
CRY1	1	-0.202799200267	4.20382120192	-1.67514580032	-0.928279895921	-4.16663682539	1.55224531837
CRY2	1	-0.485668893388	4.00993794462	-2.3454168101	-0.945206155578	-3.82056118956	0.672901743678
CTNB1	12	-0.410333613228	5.27366891429	-0.973083512887	-0.487134327007	-6.7814669791	0.916347838557
GLI3	3	-0.0685328606293	3.59385511811	-0.818738622351	0.744098314739	-2.23207266579	-1.62980644786
GLI1	5	-0.905835673013	-0.188496170978	-0.336655019728	0.388823524425	-2.37295540187	-2.01989529691
PSB1	2	-0.0798330267665	0.352769152662	-0.749566129057	-0.192009019705	0.133123855532	0.0565170067355
MSX1	1	-0.509039828186	3.57948401606	-0.83480862497	-0.434224813704	-2.66370867298	-2.19194104533
NACC1	1	-0.581945452171	1.37166065559	0.115272636	0.0952161914991	-2.0557972318	-2.43607951214
SIN3B	11	0.272452668942	9.6534403586	-0.0829533773639	0.0477596340576	-8.66643160076	0.410448330173
ZMIZ1	2	0.189927772453	10.6862222487	-0.182094401232	0.630982047992	-8.90100293466	-1.28446809854
SIN3A	14	-0.387946741199	9.34498104235	-1.16541815157	-0.365464332786	-10.1942978939	0.440465629901
NCOR1	6	-0.396483646913	10.0505636271	-0.608637080043	0.127151679887	-9.84608126823	-1.70541519325
ASCL2	1	-0.863836492227	8.15282404378	-2.0956242522	-1.12095737726	-6.11778238497	-3.13764249048
PAXI1	3	-0.0620461064184	11.103807659	0.848048940767	1.37395643339	-10.7937119872	-2.84233157801
SETB1	4	-0.248043765465	0.132436945172	0.990655162764	0.990241738873	-2.6819498731	-0.671602801028
LUZP1	1	-0.137980183151	-0.394530588022	-0.180262647719	-0.0942021201352	-0.180839385572	0.159933825696
ERR2	1	-0.206596864121	3.9540586629	-0.796015566166	-0.73158115503	-3.66474848341	0.205302221091
BAP1	1	0.109391655839	8.2367570375	-0.36868253114	0.797311726553	-8.91851086395	0.800082910228
NFIC	2	-0.218694993234	0.640182006981	-0.32284635938	-0.380219798311	-1.0947360357	0.064145220235
NFIB	3	-0.57045365103	7.07895901453	-2.48519092125	-0.875391042256	-6.63522596316	0.0645806569889
GFI1	1	-0.66722841741	6.37191586533	-2.26865319662	-1.0661184737	-5.91026966697	-0.463016615096
MXI1	2	-0.226919485157	7.29225905329	-1.14461107581	-0.0931902716372	-8.32466249769	1.13560736606
BRAC	4	-1.07726228527	4.47763643668	-1.90218673653	-0.434166886673	-5.82420678812	-1.70338745169
ZFP57	1	-0.502073166932	0.826433119685	0.573596776142	0.212103088342	-1.30144707278	-2.82105174605
HXB4	7	0.0285443885764	10.2935518046	-0.838584285394	-0.0939522694901	-9.55102816457	0.332734857749
ATF4	3	-0.511641814492	7.86310841628	-0.433235165975	0.653086716241	-8.95369058265	-1.68747845635
ERR1	1	-0.306894059914	2.1902229645	-0.18923509729	-0.489845249379	-3.11574370484	0.0701307874428
ATF3	10	-0.134178643012	4.84420940463	0.409836785312	0.259983525745	-4.72013549851	-1.46478743224
ATF2	2	0.0706019107119	7.0532727292	-0.810726107087	-0.0799032566743	-5.92028788705	0.110654075166
